62	Paitsi opettajia _ovat hoidettavat_ vielä 	vaivaisetkin	 .
69	Nivelkipu ilmentää pysähtynyttä liikettä , lyömistä ; 	vaivainen	 _joutuu_ hautaamaan aggressionsa , koska niin kipeästi tarvitsee muita .
113	Tämänkertainen jumppa _sopii_ juuri sinulle ' 	selkävaivainen	 ' .
179	Tupakka , alkoholi ja särkylääkkeet ovat yleisimpiä pahentavia tekijöitä , joita 	mahavaivaisen	 _pitäisi_ välttää .
199	Ohi _kiitää_ aika kiireinen , ohi elämä 	vaivainen	 .
220	Vesikään ei ole aina parasta , otetaan toisinaan riihen viereisestä lätäköstä , josta 	vaivaiset	 tietysti _sairastuvat_ .
253		Käsivaivainen	 , kertomansa mukaan viikonloppuviihdettä kilpailuista hakeva Arto Panttila _voitti_ motocrossin Suomen mestaruuden kahdessa luokassa .
417	- 	Selkävaivaiset	 _kokevat_ usein , he etteivät ole kenenkään hoidossa .
470	Ohi _kiitää_ aika kiireinen , ohi elämä 	vaivainen	 .
701	Lisätutkimuksia _ei_ tarsia 	vatsavaivainen	 .
759	Kokenut kaiken tietää , 	vaivainen	 kaiken _kokee_ .
777		Vaivaisempi	 tai vanhus aina _ei ehtine_ kutsulle ajoissa .
861	Huonojen aikojen sattuessa 	vaivaiset	 _jäivät_ ensimmäisinä ilman .
897	- Jo 10-vuotiaalla _voi_ olla 	lisävaivaisenluu	 ja jalkapöydän alle kiertyneitä varpaita , kun käytetään 3:n tai 4:n varpaan kenkiä .
1077	Yksi mielenkiintoisimmista ensi-illoista nähdään 25.12. jossa yli-inhimilliset , hyvät , pahat ja 	ilmavaivaiset	 _kohtaavat_ elokuvassa Mystery Men .
1217	Näyttää siltä , että maaseudulle _jäävät_ vain vanhat ja 	vaivaiset	 , kun koulua käyneet nuoret muuttavat asutus-
