87	Mikkelin seudulla haetaan uusia keinoja 	selkävaivaisten	 _auttamiseksi_ .
89	Liiallinen lepuuttaminen on lisännyt kuitenkin jopa 	selkävaivaisten	 _määrää_ , sillä potilaat ovat yrittäneet kipeimmän kauden jälkeenkin kovasti säästellä sel-
273	Jo 1906 1917 kaksi vuotta voimassa olleen vaivaisohjesäännön mukaan tehtiin viimeinkin se muu- LÄNSI-SAVO tos , että kaikki vaivaisapua nauttivat taijot- 1917 _ tiin elätettäviksi puoleksi vuodeksi , joten 	vaivaisten	 _eläkkeelle_ tarjoaminen vasfedes tapahtuu kesällä .
354	Lapsille kerrotaan kirjastossa saamelaissatuja 11. - 22.10 , Ritzissä esitetään 12. lokakuuta Markku Lehmuskallion elokuva 	Skierri-vaivaiskoivujen	 _maa_ ja ensi viikonloppuna kansalaisopistossa pidetään saamelaiskulttuurin kurssi .
384	Toisaalta kansalaisyhteiskunnassa vammaiset alkoivat erottautua 	vaivaisten	 _ryhmästä_ omaksi yhteiskunnan huomiota vaativaksi kohteeksi .
387	2.700. - Mikkelin kunnan 	vaivaisten	 _sijoitus_ tapahtui eilen ja jatketaan sitä tänään .
453		Vaivaisten	 turva ainoa . . .
481	Laudaturtyö Qoensuun yli- opisto 1973 ) , s. 58-66. Itäsuomalaisesta perheestä huolto- ja turvajärjestelmänä vrt. myös Panu Pulma , 	Vaivaisten	 _valtakunta_ teoksessa Armeliaisuus , yhteisöapu , sosiaa- liturva .
632		Selkävaivaisen	 _mielestä_ niksautus on konttaava kuin pieni ihme : kivusta voi parhaimmillaan nousta jaloilleen yhdellä , kahdella hoitokerralla .
702	Nyt kun köyhä menee soppalaan apushekkiä hakemaan , sille sanotaan , jotta jääpä tänne töihin päiväksi , keittelet kahvia ja luuttuat keittiötä ja hierot 	vaivaisten	 _hartioita_ niin sittenpä iltasella saat shekin , jolla ostat lapsillesi kaurapuuroa tai itsellesi keskikaljaa .
752		Vaivaisten	 _kirjoissa_ ovat mm. Tommi Sallinen , Timo- Pekka Viitikko , Tero Hulkkonen ja Jari Sariola .
782	Yleensä kesäkuun alkupuolella on yöpakkasia , jotka vievät kukat mustikasta ja kivun 	vaivaisen	 huonosta _marjaselästä_ .
838	Heidi Hautalan vierasryhmään kuului näet Vihreiden 	vaivaisten	 _aktivisteja_ ja heidän avustajiaan .
863		Vaivaisten	 _asema_ ei ollut kadehdittava : he olivat pitkälti sen isännän mielivallan armoilla , joka oli tehnyt pienimmän tarjouksen vaivaisen hoitamisesta .
864	Vaivaisten asema ei ollut kadehdittava : he olivat pitkälti sen isännän mielivallan armoilla , joka oli tehnyt pienimmän tarjouksen 	vaivaisen	 _hoitamisesta_ .
923	HJK:lle sarjajohdon menetys oli 	vaivaisen	 pieni _harmi_ , niin makealta sille tuntui voittaa liigacup neljännen kerran ja vielä tiukan 120 minuutin taiston jälkeen rankkareilla .
1018	Ksenian omaisuuden luovutus köyhille oli niin poikkeuksellinen teko , että hänestä tuli Pietarin köyhien ja 	vaivaisten	 keskuudessa _legenda_ , suojeluspyhimys .
1023	Ilahduttavasti Juha Reinin oikea reisi oli taas parempi kuin edellisenä päivänä , ilmeisesti ketään eikä ollut 	vaivaisten	 _kiijoissa_ .
1244	Kaikki vaivaisukot suinkaan eivät ole säälittävän ja 	vaivaisen	 _näköisiä_ .
