88	löin pystvtään paremmin ohjaamaan 	selkävaivainen	 hänelle sopivan liikunnan pariin , sanoo H i Törrönen .
109		Tämänkertai kävaivainen'	 . Rockstop !
277	Kirvesniemi 	selkävaivaisia	
304	Kai Jokinen , Paul Heaton ja Mark Joseph ovat sen verran 	vaivaisia	 , että heidän pelaamisensa sunnuntaina on epävarmaa .
536	Noin puolet Niittysen asiakkaista oli lauantaina soutajia , loput muita 	vaivaisia	 .
682	Jumalanpalvelus on kuollut aina siellä , missä herää eloon , missä Jeesus koskettaa väsynyttä ja 	vaivaista	 uskoon ja toivoon .
700	Aloituskuusikosta 	vaivaisia	 ovat myös Lassi Pöyry ja Janne Aumakallio .
742	Pulkkinen ja Atars 	nilkkavaivaisia	
745	Mika Myllylä 	jalkavaivainen	
764	Suomi pystyi 	vaivaisesti	 tasapeliin 2-2 ( 0-1,1-0,1-1 ) .
820	Joukkueen tähtihyökkääjistä 	selkävaivaisia	 ovat sekä Risto Jalo ja Andrei Andrijevksi .
947	Esimerkiksi sydän-ja 	maksavaivaisten	
1022	Ennätyksen tekemiseen enää 	vaivaiset	
1069		Polvivaivainen	 Petit pitkään poissa
1109	viiden ottelun pelikiellossa ja Thomas Strunz 	polvivaivainen	 .
1210	Man 	selkävaivaista	 hakkuinaan Janne Räsästä .
1216	Maaseutu pian 	vaivaisten	 ja vanhusten koti
