17	61 Lieksaan _perustettiin_ valtion varoilla 	vaivaisia	 ja vanhuksia varten pakolaiskoti , jossa ensimmäisenä vuonna asui keskimäärin 80 — 100 karjalaista täyshoidossa .
52	Apostolein rinnalla ne _toimivat_ seurakunnan palvelijoina , hoitaen seurakunnan yhteistä omaisuutta ja seurakunnan yhteisillä varoilla vaalien sairaita ja 	vaivaisia	 .
153	He sopivat alustavasti , että kiropraictikko matkustaa Japaniin hoivaamaan muitakin ajajia , jos niska ja 	selkävaivaisia	 _löytyy_ tarpeeksi .
176	Rampoja ja 	vaivaisiakaan	 ensi alkuun _ei armahdettu_ , jos vain asianomainen sai jalan jalan edelle .
218	Kunnallislautakunta _on päättänyt_ omin päin vastaanottaa 	vaivaisia	 ja asettaa ne riiheen .
388	Surkealta vaan näyttää miten vanhoja , 	vaivaisia	 ja lapsia _on täytynyt_ kuljettaa tällaisessa pakkasessa pitäjän tuvalle .
411	Toivotaan , että kun me Hartikaisen kanssa joskus olemme vanhoja ja 	vaivaisia	 ja _tarvitsisimme_ ehkä apua . lähimmäiset ja muu yhteiskunta eivät ykskantaan toteaisi : Kellot niille jo kilisevät , mitäpä tässä joutavia säästämään ja suojelemaan , noista lahoista ihmisrötlelöistä enää hyötväkään eihän ole .
431	30-vuotiasta Brancoa on kiusannut koko kevään paha selkäkipu , kaikki brasilialaiset _eivätkä ole hyväksyneet_ 	vaivaisen	 ja
881	Lumen työntäminen tai lapioiminen enää ei onnistu , kun kädet ovat sen verran 	vaivaiset	 , _kertoilee_ Seppänen .
907	Siat ja muut eläimet olivat tuohon aikaan kovin 	vaivaisia	 , ne _tarvitsivat_ paljon lääkepirtua .
920	Hirviä on liikaa , aiheuttavat liikennekuolemia ja 	vaivaisia	 , _syövät_ vielä puiden taimistotkin pilalle .
952	Olen katsellut vuosittain yli kolmenkymmenen vuoden ajan Lapin metsänistutushommia , ja nähnyt mitä vänkkyröitä , monilatvaisia , 	viallisenvaivaisia	 , kitukasvupuita taimikoissa _kasvaa_ .
985	Joka 	vaivaista	 _sortaa_ se luojaansa sortaa .
1044	Helle _tuo_ läkähtyneitä ja 	sydänvaivaisia	 ensiapuun
1172	Joka 	vaivaista	 sortaa , se luojaansa _herjaa_ , sanoo raamattukin .
